,Year,Title,Decision,Abstract
0,2018,Spline Filters For End-to-End Deep Learning,Oral/Poster,"We roose to tackle the roblem of end-to-end learning for raw waveforms signals by introducing learnable continuous time-frequency atoms. The derivation of these filters is achieved by first, defining a functional sace with a given smoothness order and boundary conditions. From this sace, we derive the arametric analytical filters. Their differentiability roerty allows gradient-based otimization. As such, one can equi any Dee Neural Networks (DNNs) with these filters. This enables us to tackle in a front-end fashion a large scale bird detection task based on the freefield1010 dataset known to contain key challenges, such as high dimensional inuts ($100000$) and the resence of multile sources and soundscaes."
1,2018,Non-linear motor control by local learning in spiking neural networks,Oral/Poster,"Learning weights in a siking neural network with hidden neurons, using local, stable and online rules, to control non-linear body dynamics is an oen roblem. Here, we emloy a suervised scheme, Feedback-based Online Local Learning Of Weights (FOLLOW), to train a heterogeneous network of siking neurons with hidden layers, to control a two-link arm so as to reroduce a desired state trajectory. We show that the network learns an inverse model of the non-linear dynamics, i.e. it infers from state trajectory as inut to the network, the continuous-time command that roduced the trajectory. Connection weights are adjusted via a local lasticity rule that involves re-synatic firing and ost-synatic feedback of the error in the inferred command. We roose a network architecture, termed differential feedforward, and show that it gives a lower test error than other feedforward and recurrent architectures. We demonstrate the erformance of the inverse model to control a two-link arm along a desired trajectory.
"
2,2018,Implicit Quantile Networks for Distributional Reinforcement Learning,Oral/Poster,"In this work, we build on recent advances in distributional reinforcement learning to give a generally alicable, flexible, and state-of-the-art distributional variant of DQN. We achieve this by using quantile regression to aroximate the full quantile function for the state-action return distribution. By rearameterizing a distribution over the samle sace, this yields an imlicitly defined return distribution and gives rise to a large class of risk-sensitive olicies. We demonstrate imroved erformance on the 57 Atari 2600 games in the ALE, and use our algorithm's imlicitly defined distributions to study the effects of risk-sensitive olicies in Atari games.
"
3,2018,An Inference-Based Policy Gradient Method for Learning Options,Oral/Poster,"In the ursuit of increasingly intelligent learning systems, abstraction lays a vital role in enabling sohisticated decisions to be made in comlex environments. The otions framework rovides formalism for such abstraction over sequences of decisions.  However most models require that otions be given a riori, resumably secified by hand, which is neither efficient, nor scalable. Indeed, it is referable to learn otions directly from interaction with the environment.  Desite several efforts, this remains a difficult roblem. In this work we develo a novel olicy gradient method for the automatic learning of olicies with otions. This algorithm uses inference methods to simultaneously imrove all of the otions available to an agent, and thus can be emloyed in an off-olicy manner, without observing otion labels. The differentiable inference rocedure emloyed yields otions that can be easily interreted. Emirical results confirm these attributes, and indicate that our algorithm has an imroved samle efficiency relative to state-of-the-art in learning otions end-to-end.
"
4,2018,Predict and Constrain: Modeling Cardinality in Deep Structured Prediction,Oral/Poster,"Many machine learning roblems require the rediction of multi-dimensional labels. Such structured rediction models can benefit from modeling deendencies between labels. Recently, several dee learning aroaches to structured rediction have been roosed. Here we focus on caturing cardinality constraints in such models. Namely, constraining the number of non-zero labels that the model oututs. Such constraints have roven very useful in revious structured rediction methods, but it is a challenge to introduce them into a dee learning aroach. Here we show how to do this via a novel dee architecture. Our aroach outerforms strong baselines, achieving state-of-the-art results on multi-label classification benchmarks.
"
5,2018,Differentially Private Matrix Completion Revisited,Oral/Poster,"We rovide the first rovably joint differentially rivate algorithm with formal utility guarantees for the roblem of user-level rivacy-reserving collaborative filtering. Our algorithm is based on the Frank-Wolfe method, and it consistently estimates the underlying reference matrix as long as the number of users $m$ is $\omega(n^{54})$, where $n$ is the number of items, and each user rovides her reference for at least $\sqrt{n}$ randomly selected items. Along the way, we rovide an otimal differentially rivate algorithm for singular vector comutation, based on the celebrated Oja's method, that rovides significant savings in terms of sace and time while oerating on sarse matrices. We also emirically evaluate our algorithm on a suite of datasets, and show that it consistently outerforms the state-of-the-art rivate algorithms."
6,2018,Differentiable plasticity: training plastic neural networks with backpropagation,Oral/Poster,"How can we build agents that kee learning from exerience, quickly and efficiently, after their initial training? Here we take insiration from the main mechanism of learning in biological brains: synatic lasticity, carefully tuned by evolution to roduce efficient lifelong learning. We show that lasticity, just like connection weights, can be otimized by gradient descent in large (millions of arameters) recurrent networks with Hebbian lastic connections. First, recurrent lastic networks with more than two million arameters can be trained to memorize and reconstruct sets of novel, high-dimensional (1000+ ixels) natural images not seen during training. Crucially,   traditional non-lastic recurrent networks fail to solve this task. Furthermore, trained lastic networks can also solve generic meta-learning tasks such as the Omniglot task, with cometitive results and little arameter overhead. Finally, in reinforcement learning settings, lastic networks outerform non-lastic equivalent in a maze exloration task. We conclude that differentiable lasticity may rovide a owerful novel aroach to the learning-to-learn roblem.
"
7,2018,Model-Level Dual Learning,Oral/Poster,"Many artificial intelligence tasks aear in dual forms like English$\leftrightarrow$French translation and seech$\leftrightarrow$text transformation. Existing dual learning schemes, which are roosed to solve a air of such dual tasks, exlore how to leverage such dualities from data level. In this work, we roose a new learning framework, model-level dual learning, which takes duality of tasks into consideration while designing the architectures for the rimaldual models, and ties the model arameters that laying similar roles in the two tasks. We study both symmetric and asymmetric model-level dual learning. Our algorithms achieve significant imrovements on neural machine translation and sentiment analysis."
8,2018,CoVeR: Learning Covariate-Specific Vector Representations with Tensor Decompositions,Oral/Poster,"Word embedding is a useful aroach to cature co-occurrence structures in large text corora. However, in addition to the text data itself, we often have additional covariates associated with individual corus documents---e.g. the demograhic of the author, time and venue of ublication---and we would like the embedding to naturally cature this information. We roose CoVeR, a new tensor decomosition model for vector embeddings with covariates. CoVeR jointly learns a \emh{base} embedding for all the words as well as a weighted diagonal matrix to model how each covariate affects the base embedding. To obtain author or venue-secific embedding, for examle, we can then simly multily the base embedding by the associated transformation matrix. The main advantages of our aroach are data efficiency and interretability of the covariate transformation. Our exeriments demonstrate that our joint model learns substantially better covariate-secific embeddings comared to the standard aroach of learning a searate embedding for each covariate using only the relevant subset of data, as well as other related methods. Furthermore, CoVeR encourages the embeddings to be ``toic-aligned'' in that the dimensions have secific indeendent meanings. This allows our covariate-secific embeddings to be comared by toic, enabling downstream differential analysis. We emirically evaluate the benefits of our algorithm on datasets, and demonstrate how it can be used to address many natural questions about covariate effects.
"
9,2018,Tree Edit Distance Learning via Adaptive Symbol Embeddings,Oral/Poster,"Metric learning has the aim to imrove classification accuracy by learning a distance measure which brings data oints from the same class closer together and ushes data oints from different classes further aart. Recent research has demonstrated that metric learning aroaches can also be alied to trees, such as molecular structures, abstract syntax trees of comuter rograms, or syntax trees of natural language, by learning the cost function of an edit distance, i.e. the costs of relacing, deleting, or inserting nodes in a tree. However, learning such costs directly may yield an edit distance which violates metric axioms, is challenging to interret, and may not generalize well. In this contribution, we roose a novel metric learning aroach for trees which learns an edit distance indirectly by embedding the tree nodes as vectors, such that the Euclidean distance between those vectors suorts class discrimination. We learn such embeddings by reducing the distance to rototyical trees from the same class and increasing the distance to rototyical trees from different classes. In our exeriments, we show that our roosed metric learning aroach imroves uon the state-of-the-art in metric learning for trees on six benchmark data sets, ranging from comuter science over biomedical data to a natural-language rocessing data set containing over 300,000 nodes.
"
10,2018,Gradually Updated Neural Networks for Large-Scale Image Recognition,Oral/Poster,"Deth is one of the keys that make neural networks succeed in the task of large-scale image recognition. The state-of-the-art network architectures usually increase the deths by cascading convolutional layers or building blocks. In this aer, we resent an alternative method to increase the deth. Our method is by introducing comutation orderings to the channels within convolutional layers or blocks, based on which we gradually comute the oututs in a channel-wise manner. The added orderings not only increase the deths and the learning caacities of the networks without any additional comutation costs, but also eliminate the overla singularities so that the networks are able to converge faster and erform better. Exeriments show that the networks based on our method achieve the state-of-the-art erformances on CIFAR and ImageNet datasets.
"
11,2018,One-Shot Segmentation in Clutter,Oral/Poster,"We tackle the roblem of one-shot segmentation: finding and segmenting a reviously unseen object in a cluttered scene based on a single instruction examle. We roose a novel dataset, which we call {\it cluttered Omniglot}. Using a baseline architecture combining a Siamese embedding for detection with a U-net for segmentation we show that increasing levels of clutter make the task rogressively harder. Using oracle models with access to various amounts of ground-truth information, we evaluate different asects of the roblem and show that in this kind of visual search task, detection and segmentation are two intertwined roblems, the solution to each of which hels solving the other. We therefore introduce {\it MaskNet}, an imroved model that attends to multile candidate locations, generates segmentation roosals to mask out background clutter and selects among the segmented objects. Our findings suggest that such image recognition models based on an iterative refinement of object detection and foreground segmentation may rovide a way to deal with highly cluttered scenes.
"
